frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
6,0.2,2,772.39,499.31,845.0,889.88,0.4837,820.89,628.66,0.0757,819.46,609.81,0.1162,822.31,609.61,0.0177,824.42,622.91,0.3245,834.98,622.95,0.0327,827.98,769.01,0.3981,836.53,766.84,0.0895,818.14,890.0,0.0934,829.66,890.0,0.0065,808.99,866.89,0.0769,816.45,876.74,0.0113,825.38,885.43,0.0113,834.13,884.14,0.0042,812.55,798.86,0.021,814.28,799.1,0.0077,818.37,801.41,0.0337,817.42,802.11,0.0172
6,0.2,3,539.95,152.44,647.82,331.35,0.4713,559.74,204.72,0.6454,566.42,198.07,0.7984,561.8,196.51,0.0915,593.89,197.43,0.8672,576.36,193.04,0.007,626.69,240.0,0.9128,574.65,222.5,0.7191,621.62,327.23,0.8654,555.37,279.44,0.3589,580.09,331.58,0.6878,550.16,263.97,0.2884,611.89,354.68,0.4785,577.06,343.72,0.329,591.69,380.28,0.0257,544.87,369.74,0.0108,597.13,415.75,0.0032,547.58,398.72,0.0018
6,0.2,4,574.81,0.25,658.54,146.63,0.5051,601.09,22.2,0.9252,606.47,16.48,0.9503,597.49,17.02,0.7159,620.96,15.71,0.8951,595.56,17.27,0.1764,640.48,41.09,0.9833,590.32,42.57,0.9212,643.98,82.9,0.939,581.5,83.65,0.4944,611.87,79.06,0.8463,590.29,80.34,0.4192,634.94,124.42,0.8638,599.53,124.17,0.7326,640.66,170.45,0.2619,591.02,170.05,0.1172,645.46,196.28,0.0501,594.23,195.08,0.0255
7,0.2333,1,508.99,316.4,743.01,876.17,0.9042,566.3,401.0,0.067,564.38,387.77,0.1504,576.38,385.06,0.0029,576.51,392.81,0.9825,636.87,382.75,0.2007,592.84,478.71,0.9982,682.93,450.55,0.9576,592.37,600.56,0.9834,691.62,552.54,0.3825,545.04,576.74,0.8424,611.6,557.89,0.1802,644.58,666.15,0.995,703.06,654.12,0.9766,661.61,760.17,0.9693,686.8,737.35,0.8831,708.3,849.86,0.7369,700.68,821.11,0.5497
7,0.2333,2,772.39,499.2,845.0,889.88,0.4849,820.9,628.66,0.0757,819.47,609.81,0.1161,822.31,609.62,0.0177,824.42,622.91,0.3244,834.98,622.95,0.0327,827.97,768.99,0.3984,836.53,766.82,0.0895,818.11,890.0,0.0936,829.62,890.0,0.0065,808.96,866.93,0.077,816.43,876.78,0.0113,825.37,885.47,0.0113,834.12,884.19,0.0042,812.55,798.88,0.021,814.27,799.13,0.0077,818.36,801.41,0.0337,817.39,802.13,0.0172
7,0.2333,3,539.98,152.36,647.9,331.38,0.4713,559.74,204.72,0.6454,566.42,198.07,0.7984,561.8,196.51,0.0915,593.89,197.43,0.8672,576.36,193.04,0.007,626.69,240.0,0.9128,574.65,222.5,0.7191,621.63,327.23,0.8655,555.38,279.44,0.3589,580.11,331.58,0.6878,550.16,263.94,0.2884,611.89,354.7,0.4787,577.06,343.74,0.3291,591.71,380.34,0.0257,544.88,369.8,0.0108,597.16,415.81,0.0032,547.58,398.77,0.0018
7,0.2333,4,574.72,0.26,658.62,146.52,0.5051,601.09,22.2,0.9252,606.47,16.48,0.9503,597.49,17.02,0.7159,620.96,15.71,0.8951,595.56,17.27,0.1764,640.48,41.09,0.9833,590.32,42.57,0.9212,643.98,82.9,0.939,581.5,83.65,0.4944,611.87,79.06,0.8463,590.29,80.34,0.4192,634.94,124.42,0.8638,599.53,124.17,0.7326,640.66,170.46,0.2619,591.03,170.05,0.1172,645.46,196.28,0.0501,594.23,195.08,0.0255
8,0.2667,1,508.95,316.39,743.04,876.17,0.9042,566.3,401.0,0.067,564.38,387.77,0.1504,576.38,385.06,0.0029,576.51,392.81,0.9825,636.87,382.75,0.2007,592.84,478.71,0.9982,682.93,450.55,0.9576,592.37,600.56,0.9834,691.62,552.54,0.3825,545.04,576.74,0.8424,611.6,557.89,0.1802,644.58,666.15,0.995,703.06,654.12,0.9766,661.61,760.17,0.9693,686.8,737.35,0.8831,708.3,849.86,0.7369,700.68,821.11,0.5497
8,0.2667,2,772.39,499.12,845.0,889.88,0.4849,820.9,628.66,0.0757,819.47,609.81,0.1161,822.31,609.62,0.0177,824.42,622.91,0.3244,834.98,622.95,0.0327,827.97,768.99,0.3984,836.53,766.82,0.0895,818.11,890.0,0.0936,829.62,890.0,0.0065,808.96,866.93,0.077,816.43,876.78,0.0113,825.37,885.47,0.0113,834.12,884.19,0.0042,812.55,798.88,0.021,814.27,799.13,0.0077,818.36,801.41,0.0337,817.39,802.13,0.0172
8,0.2667,3,539.99,152.36,647.87,331.38,0.4713,559.74,204.72,0.6454,566.42,198.07,0.7984,561.8,196.51,0.0915,593.89,197.43,0.8672,576.36,193.04,0.007,626.69,240.0,0.9128,574.65,222.5,0.7191,621.63,327.23,0.8655,555.38,279.44,0.3589,580.11,331.58,0.6878,550.16,263.94,0.2884,611.89,354.7,0.4787,577.06,343.74,0.3291,591.71,380.34,0.0257,544.88,369.8,0.0108,597.16,415.81,0.0032,547.58,398.77,0.0018
8,0.2667,4,574.6,0.26,658.73,146.55,0.5051,601.09,22.2,0.9252,606.47,16.48,0.9503,597.49,17.02,0.7159,620.96,15.71,0.8951,595.56,17.27,0.1764,640.48,41.09,0.9833,590.32,42.57,0.9212,643.98,82.9,0.939,581.5,83.65,0.4944,611.87,79.06,0.8463,590.29,80.34,0.4192,634.94,124.42,0.8638,599.53,124.17,0.7326,640.66,170.46,0.2619,591.03,170.05,0.1172,645.46,196.28,0.0501,594.23,195.08,0.0255
9,0.3,1,508.17,312.98,743.51,875.61,0.9051,569.12,399.5,0.0826,567.66,386.38,0.182,578.58,383.71,0.0036,578.8,392.44,0.9837,636.58,382.5,0.2049,594.67,478.98,0.9986,679.49,450.26,0.9617,593.26,603.44,0.9869,681.06,549.99,0.3971,544.7,579.11,0.8682,590.05,550.53,0.1936,646.84,667.93,0.9961,702.93,655.98,0.9802,661.72,758.5,0.9757,687.84,735.86,0.8987,707.83,847.05,0.7758,705.55,818.4,0.5894
9,0.3,2,774.6,496.74,845.0,889.88,0.3163,828.5,614.2,0.0845,828.55,597.72,0.0981,828.76,596.61,0.028,832.57,617.71,0.2206,838.1,616.16,0.0483,831.97,758.5,0.2607,837.59,758.51,0.1259,824.8,890.0,0.0545,835.67,890.0,0.0132,817.81,864.31,0.0542,827.81,872.41,0.0196,831.72,889.25,0.0086,838.58,888.59,0.0053,818.06,793.46,0.0163,818.0,792.79,0.0096,824.14,808.02,0.0299,820.7,803.04,0.0209
9,0.3,3,541.9,149.51,651.88,332.32,0.5868,556.64,201.02,0.7968,564.85,194.51,0.9013,559.61,192.28,0.1331,596.47,196.68,0.9354,577.8,190.87,0.0067,627.98,242.93,0.9443,579.94,223.81,0.8089,619.88,332.28,0.8805,562.11,284.36,0.3822,573.08,334.56,0.7094,549.89,274.38,0.299,611.92,360.04,0.4844,578.7,348.27,0.3361,597.35,385.67,0.0234,549.04,374.38,0.0098,605.42,422.28,0.0029,551.62,403.96,0.0016
9,0.3,4,574.81,0.29,657.82,144.05,0.5686,601.18,22.26,0.9314,606.64,16.64,0.9557,597.6,17.19,0.7266,621.02,15.96,0.9059,595.41,17.59,0.1739,640.17,41.05,0.9837,590.27,42.61,0.9191,643.77,82.64,0.939,580.89,82.72,0.4738,610.69,80.62,0.8437,586.78,80.63,0.3999,634.45,123.73,0.8524,599.24,123.45,0.7096,638.96,171.89,0.2332,590.14,171.42,0.0994,644.92,197.33,0.0422,594.43,196.0,0.021
10,0.3333,1,507.86,311.73,743.7,875.4,0.9051,569.1,399.52,0.0825,567.65,386.4,0.1819,578.57,383.72,0.0036,578.78,392.44,0.9837,636.58,382.49,0.2049,594.7,478.98,0.9986,679.45,450.21,0.9618,593.28,603.49,0.9869,680.91,549.84,0.3978,544.7,579.13,0.8682,589.68,550.3,0.1939,646.89,668.0,0.9961,702.95,656.05,0.9802,661.8,758.56,0.9756,687.91,735.91,0.8984,707.86,847.05,0.7749,705.67,818.39,0.5883
10,0.3333,2,775.6,495.79,845.0,889.88,0.3205,828.55,614.24,0.0845,828.57,597.79,0.0979,828.76,596.7,0.0279,832.59,617.84,0.2205,838.1,616.33,0.0483,832.09,758.53,0.2619,837.89,758.4,0.1264,825.01,890.0,0.0554,835.9,890.0,0.0134,817.78,864.53,0.0552,827.84,872.68,0.02,831.77,889.32,0.0087,838.73,888.59,0.0053,818.03,793.57,0.0162,818.14,792.82,0.0095,824.07,808.58,0.0295,820.54,803.69,0.0206
10,0.3333,3,542.63,148.48,653.26,332.66,0.587,556.61,200.98,0.7972,564.82,194.46,0.9015,559.57,192.24,0.1339,596.45,196.66,0.9354,577.69,190.84,0.0067,627.99,242.95,0.9444,579.7,223.82,0.8088,619.95,332.39,0.8805,561.85,284.38,0.3818,573.06,334.57,0.7091,549.82,274.18,0.2985,611.83,360.09,0.4834,578.45,348.32,0.335,597.35,385.67,0.0233,548.82,374.37,0.0097,605.36,422.35,0.0029,551.39,404.03,0.0016
10,0.3333,4,574.77,0.3,657.59,143.18,0.568,601.18,22.26,0.9314,606.64,16.64,0.9557,597.6,17.19,0.7266,621.02,15.96,0.9059,595.41,17.59,0.1739,640.17,41.05,0.9837,590.27,42.61,0.9191,643.77,82.64,0.939,580.88,82.72,0.474,610.69,80.62,0.8438,586.77,80.63,0.4001,634.45,123.72,0.8526,599.25,123.44,0.7098,638.96,171.86,0.2336,590.15,171.39,0.0996,644.92,197.3,0.0423,594.44,195.97,0.021
11,0.3667,1,507.72,311.29,743.79,875.33,0.9051,569.1,399.52,0.0825,567.65,386.4,0.1819,578.57,383.72,0.0036,578.78,392.44,0.9837,636.58,382.49,0.2049,594.7,478.98,0.9986,679.45,450.21,0.9618,593.28,603.49,0.9869,680.91,549.84,0.3978,544.7,579.13,0.8682,589.68,550.3,0.1939,646.89,668.0,0.9961,702.95,656.05,0.9802,661.8,758.56,0.9756,687.91,735.91,0.8984,707.86,847.05,0.7749,705.67,818.39,0.5883
11,0.3667,2,776.11,495.43,845.0,889.88,0.3205,828.55,614.24,0.0845,828.57,597.79,0.0979,828.76,596.7,0.0279,832.59,617.84,0.2205,838.1,616.33,0.0483,832.09,758.53,0.2619,837.89,758.4,0.1264,825.01,890.0,0.0554,835.9,890.0,0.0134,817.78,864.53,0.0552,827.84,872.68,0.02,831.77,889.32,0.0087,838.73,888.59,0.0053,818.03,793.57,0.0162,818.14,792.82,0.0095,824.07,808.58,0.0295,820.54,803.69,0.0206
11,0.3667,3,542.95,148.12,653.68,332.77,0.587,556.61,200.98,0.7972,564.82,194.46,0.9015,559.57,192.24,0.1339,596.45,196.66,0.9354,577.69,190.84,0.0067,627.99,242.95,0.9444,579.7,223.82,0.8088,619.95,332.39,0.8805,561.85,284.38,0.3818,573.06,334.57,0.7091,549.82,274.18,0.2985,611.83,360.09,0.4834,578.45,348.32,0.335,597.35,385.67,0.0233,548.82,374.37,0.0097,605.36,422.35,0.0029,551.39,404.03,0.0016
11,0.3667,4,574.65,0.31,657.61,142.92,0.568,601.18,22.26,0.9314,606.64,16.64,0.9557,597.6,17.19,0.7266,621.02,15.96,0.9059,595.41,17.59,0.1739,640.17,41.05,0.9837,590.27,42.61,0.9191,643.77,82.64,0.939,580.88,82.72,0.474,610.69,80.62,0.8438,586.77,80.63,0.4001,634.45,123.72,0.8526,599.25,123.44,0.7098,638.96,171.86,0.2336,590.15,171.39,0.0996,644.92,197.3,0.0423,594.44,195.97,0.021
12,0.4,1,507.66,311.15,743.83,875.31,0.9051,569.1,399.52,0.0825,567.65,386.4,0.1819,578.57,383.72,0.0036,578.78,392.44,0.9837,636.58,382.49,0.2049,594.7,478.98,0.9986,679.45,450.21,0.9618,593.28,603.49,0.9869,680.91,549.84,0.3978,544.7,579.13,0.8682,589.68,550.3,0.1939,646.89,668.0,0.9961,702.95,656.05,0.9802,661.8,758.56,0.9756,687.91,735.91,0.8984,707.86,847.05,0.7749,705.67,818.39,0.5883
12,0.4,2,776.42,495.3,845.0,889.88,0.3205,828.55,614.24,0.0845,828.57,597.79,0.0979,828.76,596.7,0.0279,832.59,617.84,0.2205,838.1,616.33,0.0483,832.09,758.53,0.2619,837.89,758.4,0.1264,825.01,890.0,0.0554,835.9,890.0,0.0134,817.78,864.53,0.0552,827.84,872.68,0.02,831.77,889.32,0.0087,838.73,888.59,0.0053,818.03,793.57,0.0162,818.14,792.82,0.0095,824.07,808.58,0.0295,820.54,803.69,0.0206
12,0.4,3,543.1,148.03,653.74,332.81,0.587,556.61,200.98,0.7972,564.82,194.46,0.9015,559.57,192.24,0.1339,596.45,196.66,0.9354,577.69,190.84,0.0067,627.99,242.95,0.9444,579.7,223.82,0.8088,619.95,332.39,0.8805,561.85,284.38,0.3818,573.06,334.57,0.7091,549.82,274.18,0.2985,611.83,360.09,0.4834,578.45,348.32,0.335,597.35,385.67,0.0233,548.82,374.37,0.0097,605.36,422.35,0.0029,551.39,404.03,0.0016
12,0.4,4,574.51,0.31,657.72,142.87,0.568,601.18,22.26,0.9314,606.64,16.64,0.9557,597.6,17.19,0.7266,621.02,15.96,0.9059,595.41,17.59,0.1739,640.17,41.05,0.9837,590.27,42.61,0.9191,643.77,82.64,0.939,580.88,82.72,0.474,610.69,80.62,0.8438,586.77,80.63,0.4001,634.45,123.72,0.8526,599.25,123.44,0.7098,638.96,171.86,0.2336,590.15,171.39,0.0996,644.92,197.3,0.0423,594.44,195.97,0.021
13,0.4333,1,508.71,314.77,743.12,874.02,0.8967,563.25,404.73,0.0751,562.46,389.49,0.1619,573.09,387.56,0.0037,579.53,394.65,0.9834,634.73,386.42,0.19,597.76,492.84,0.9974,684.08,462.3,0.9669,594.67,614.08,0.9683,697.62,557.11,0.4455,543.81,581.6,0.792,621.57,557.8,0.2224,642.83,670.48,0.9947,697.46,655.52,0.9832,653.48,764.75,0.9705,678.96,738.78,0.9214,704.99,843.62,0.7737,698.54,816.55,0.6611
